TITLE     = "Lower surface points for converging-diverging channel"
FROM https://turbase.cineca.it/init/routes/#/logging/view_dataset/39/tabmeta
VARIABLES = "X","Y"
2.29224229E+00 3.14291000E-01
2.30042887E+00 3.17696393E-01
2.30861545E+00 3.21112305E-01
2.31680202E+00 3.24537963E-01
2.32498860E+00 3.27972680E-01
2.33317518E+00 3.31415743E-01
2.34136176E+00 3.34866405E-01
2.34954834E+00 3.38323981E-01
2.35773492E+00 3.41787696E-01
2.36592150E+00 3.45256895E-01
2.37410808E+00 3.48730773E-01
2.38229465E+00 3.52208644E-01
2.39048123E+00 3.55689764E-01
2.39866781E+00 3.59173417E-01
2.40685439E+00 3.62658888E-01
2.41504097E+00 3.66145730E-01
2.42322755E+00 3.69633704E-01
2.43141413E+00 3.73122573E-01
2.43960071E+00 3.76612127E-01
2.44778728E+00 3.80102128E-01
2.45597386E+00 3.83592337E-01
2.46416044E+00 3.87082547E-01
2.47234702E+00 3.90572369E-01
2.48053360E+00 3.94060791E-01
2.48872018E+00 3.97546619E-01
2.49690676E+00 4.01028723E-01
2.50509334E+00 4.04505879E-01
2.51327991E+00 4.07976925E-01
2.52146649E+00 4.11440700E-01
2.52965307E+00 4.14896041E-01
2.53783965E+00 4.18341815E-01
2.54602623E+00 4.21777785E-01
2.55421281E+00 4.25203890E-01
2.56239939E+00 4.28620189E-01
2.57058597E+00 4.32026654E-01
2.57877254E+00 4.35423315E-01
2.58695912E+00 4.38810170E-01
2.59514570E+00 4.42187250E-01
2.60333228E+00 4.45554286E-01
2.61151886E+00 4.48910445E-01
2.61970544E+00 4.52254742E-01
2.62789202E+00 4.55586195E-01
2.63607860E+00 4.58903879E-01
2.64426517E+00 4.62206811E-01
2.65245175E+00 4.65493977E-01
2.66063833E+00 4.68764484E-01
2.66882491E+00 4.72017527E-01
2.67701149E+00 4.75252688E-01
2.68519807E+00 4.78469461E-01
2.69338465E+00 4.81667399E-01
2.70157123E+00 4.84846026E-01
2.70975780E+00 4.88004893E-01
2.71794438E+00 4.91143495E-01
2.72613096E+00 4.94261384E-01
2.73431754E+00 4.97358143E-01
2.74250412E+00 5.00433505E-01
2.75069070E+00 5.03487229E-01
2.75887728E+00 5.06518960E-01
2.76706386E+00 5.09528518E-01
2.77525043E+00 5.12515604E-01
2.78343725E+00 5.15479922E-01
2.79162383E+00 5.18421233E-01
2.79981041E+00 5.21339118E-01
2.80799699E+00 5.24232805E-01
2.81618357E+00 5.27101636E-01
2.82437015E+00 5.29944897E-01
2.83255672E+00 5.32761931E-01
2.84074330E+00 5.35552025E-01
2.84892988E+00 5.38314462E-01
2.85711646E+00 5.41048527E-01
2.86530304E+00 5.43753684E-01
2.87348962E+00 5.46429694E-01
2.88167620E+00 5.49076498E-01
2.88986278E+00 5.51693916E-01
2.89804935E+00 5.54281831E-01
2.90623593E+00 5.56840181E-01
2.91442251E+00 5.59368789E-01
2.92260909E+00 5.61867535E-01
2.93079567E+00 5.64336360E-01
2.93898225E+00 5.66775203E-01
2.94716883E+00 5.69184065E-01
2.95535541E+00 5.71563005E-01
2.96354198E+00 5.73912024E-01
2.97172856E+00 5.76231122E-01
2.97991514E+00 5.78520298E-01
2.98810172E+00 5.80779552E-01
2.99628830E+00 5.83008766E-01
3.00447488E+00 5.85207582E-01
3.01266146E+00 5.87375581E-01
3.02084804E+00 5.89512527E-01
3.02903461E+00 5.91617823E-01
3.03722119E+00 5.93691289E-01
3.04540777E+00 5.95732391E-01
3.05359435E+00 5.97740769E-01
3.06178093E+00 5.99716127E-01
3.06996751E+00 6.01658404E-01
3.07815409E+00 6.03567779E-01
3.08634067E+00 6.05444491E-01
3.09452724E+00 6.07288659E-01
3.10271382E+00 6.09100461E-01
3.11090040E+00 6.10880077E-01
3.11908698E+00 6.12627745E-01
3.12727356E+00 6.14343584E-01
3.13546014E+00 6.16027832E-01
3.14364672E+00 6.17680490E-01
3.15183330E+00 6.19301796E-01
3.16001987E+00 6.20891869E-01
3.16820645E+00 6.22450888E-01
3.17639303E+00 6.23978913E-01
3.18457961E+00 6.25476122E-01
3.19276619E+00 6.26942635E-01
